P,I,D,error_avg
2.25,4.75,4.25,0.73213
2.5,4.5,4.5,0.732003
2.75,4.25,4.75,0.731864
3,4,5,0.731718
3.25,3.75,5.25,0.731574
3.5,3.5,5.5,0.731417
3.75,3.25,5.75,0.731264
4,3,6,0.731117
4.25,2.75,6.25,0.730969
4.5,2.5,6.5,0.730817
4.75,2.25,6.75,0.730659
5,2,7,0.730495
5.25,1.75,7.25,0.730318
5.5,1.5,7.5,0.730177
5.75,1.25,7.75,0.730144
6,1,8,0.730141
6.25,0.75,8.25,0.73014
6.5,0.5,8.5,0.730139
6.75,0.25,8.75,0.730139
7,0,9,0.730138
7.25,0,9.25,0.730138
7.5,0,9.5,0.730137
7.75,0,9.75,0.730137
8,0,10,0.730137
8.25,0,10.25,0.730136
8.5,0,10.5,0.730136
8.75,0,10.75,0.730136
9,0,11,0.730135
9.25,0,11.25,0.730135
9.5,0,11.5,0.730135
